"","vectordist","iso","vectorlang"
"1",0.707325430325575,"ABW",0.973577725777098
"2",0.630311039892471,"AFG",0.687123745037798
"3",0.644207636853257,"AGO",0.983039772763298
"4",0.67877809743959,"AIA",0.584589417015058
"5",0.557637991198278,"ALB",0.654250002839606
"6",0.566180502918832,"AND",0.806544199325451
"7",0.705521953108755,"ANT",0.973577725777097
"8",0.610955540361483,"ARE",0
"9",0.81293268500361,"ARG",0.722219078888145
"10",0.577947151657496,"ARM",0.654250002839605
"11",0.678314136154085,"ATG",0.584589417015058
"12",0.96349256245462,"AUS",0.584589417015058
"13",0.55909579686771,"AUT",0.860042304404351
"14",0.586403339433037,"AZE",0.00785075528095749
"15",0.63240245370929,"BDI",0
"16",0.611759863229826,"BEN",0
"17",0.604520552391934,"BFA",0
"18",0.706020133448327,"BGD",0.691859393013395
"19",0.558254379165118,"BGR",0.711623930952322
"20",0.600544983340057,"BHR",0
"21",0.701380064849266,"BHS",0.584589417015058
"22",0.557382771704625,"BIH",0.73129281390971
"23",0.5683258823958,"BLR",0.70508296501618
"24",0.749293782982771,"BLZ",0.634447616421131
"25",0.664944463021273,"BMU",0.584589417015058
"26",0.789685902371328,"BOL",0.389998320632399
"27",0.760566605747609,"BRA",0.983039772763297
"28",0.682967919730046,"BRB",0.584589417015058
"29",0.824900928449718,"BRN",0.00190895061653425
"30",0.695854600689632,"BTN",0.307977755651419
"31",0.609726354064828,"CAF",0
"32",0.683968044971752,"CAN",0.670655459255131
"33",0.561901003882245,"CHE",0.862200034446228
"34",0.837756457910399,"CHL",0.722219078888144
"35",0.736858105785779,"CHN",0.0015751057838742
"36",0.620976834385843,"CIV",0
"37",0.611882275908147,"CMR",0
"38",0.630883103279549,"COG",0
"39",0.99348193682711,"COK",0
"40",0.743671995750682,"COL",0.722219078888144
"41",0.673834368179215,"COM",0
"42",0.627474823297295,"CPV",0.584589417015058
"43",0.753344902313726,"CRI",0.722219078888144
"44",0.71834539487215,"CUB",0.722219078888144
"45",0.722578823334878,"CYM",0.584589417015058
"46",0.566784819255187,"CYP",0.515541848524354
"47",0.561023840855825,"CZE",0.73809297235603
"48",0.565236556700563,"DEU",0.860042304404351
"49",0.614092887721991,"DJI",0
"50",0.681094414402036,"DMA",0.880207076248577
"51",0.568644618975272,"DNK",0.865116858762007
"52",0.693241563772635,"DOM",0.722219078888145
"53",0.567427237274883,"DZA",0
"54",0.768613555441404,"ECU",0.722219078888144
"55",0.570060508822385,"EGY",0
"56",0.60029062646235,"ERI",0
"57",0.572004401984822,"ESP",0.722219078888144
"58",0.576492903232602,"EST",0.119891935531855
"59",0.578074480415647,"FIN",0.00163539476476641
"60",0.977704208522571,"FJI",0.350978294591069
"61",0.850514315427611,"FLK",0.584589417015058
"62",0.566488545148401,"FRA",0.880207076248577
"63",0.897211370876979,"FSM",0
"64",0.620812983050246,"GAB",0
"65",0.570358419034522,"GBR",0.584589417015058
"66",0.578274157290676,"GEO",0
"67",0.616261880151073,"GHA",0
"68",0.576276082526803,"GIB",0.615516225140083
"69",0.62658977487581,"GIN",0
"70",0.620042239815793,"GMB",0
"71",0.621686146675713,"GNB",0
"72",0.559810849372164,"GRC",0.650497690849862
"73",0.689269082001588,"GRD",0.584589417015058
"74",0.63348266238032,"GRL",0.869598477896485
"75",0.760964761467465,"GTM",0.722219078888145
"76",0.697249956777063,"GUY",0.584589417015058
"77",0.773477519585859,"HKG",0.00157510578387418
"78",0.751844613150913,"HND",0.722219078888144
"79",0.557901872408177,"HRV",0.731292814657809
"80",0.699475368889301,"HTI",1
"81",0.558693664492089,"HUN",0.000829050026174433
"82",0.838826648151217,"IDN",0.00193095495574625
"83",0.659799507156555,"IND",0
"84",0.577439791194169,"IRL",0.584589417015058
"85",0.591394812563841,"IRN",0.493408686043468
"86",0.581432667511586,"IRQ",0
"87",0.603859555489851,"ISL",0.865116858762007
"88",0.570429548604296,"ISR",0.0916607818125149
"89",0.558796430193004,"ITA",0.915635318169934
"90",0.712520265862163,"JAM",0.584589417015058
"91",0.571679285477117,"JOR",0
"92",0.790633036967494,"JPN",0
"93",0.639949001813245,"KAZ",0.295561736407766
"94",0.634728765629141,"KEN",0
"95",0.634821865792978,"KGZ",0.198980346758604
"96",0.778899080874866,"KHM",0
"97",0.931871850127618,"KIR",0.00368900779062951
"98",0.679687079847018,"KNA",0.584589417015058
"99",0.763724400776596,"KOR",0
"100",0.5914322427481,"KWT",0
"101",0.754491547410466,"LAO",0
"102",0.569540174780675,"LBN",0
"103",0.626957354278356,"LBR",0
"104",0.564821988021957,"LBY",0
"105",0.683143332829892,"LCA",0.880207076248577
"106",0.719057535881029,"LKA",0.744200725296764
"107",0.56837805146103,"LTU",0.658822563944732
"108",0.57158720247291,"LVA",0.670686985362002
"109",0.57988645706743,"MAR",0
"110",0.562597270507833,"MDA",0.915635318169934
"111",0.703890424549996,"MDG",0.00190226398243307
"112",0.777437273998257,"MEX",0.722219078888145
"113",0.914300997956797,"MHL",0.584589417015058
"114",0.557746401148892,"MKD",0.711623930952322
"115",0.610703623551657,"MLI",0
"116",0.561279372367624,"MLT",0
"117",0.856040081747457,"MNP",0
"118",0.705453875139137,"MOZ",0
"119",0.611472401459116,"MRT",0
"120",0.679810742294878,"MSR",0.584589417015058
"121",0.730065375758468,"MUS",0.999999999633159
"122",0.667169299325011,"MWI",0
"123",0.795703680871427,"MYS",0.00179878189287589
"124",0.970339122292004,"NCL",0.880207076248577
"125",0.599094981390682,"NER",0
"126",0.981021154698811,"NFK",0.584589417015058
"127",0.61089234031961,"NGA",0
"128",0.754198915333148,"NIC",0.722219078888145
"129",0.987498455503045,"NIU",0.00368900779062953
"130",0.567380684238833,"NLD",0.890302031205402
"131",0.576777987148752,"NOR",0.907790521787267
"132",0.683346863111204,"NPL",0.683119750280212
"133",0.928577796685521,"NRU",0.00368900779062948
"134",1,"NZL",0.584589417015058
"135",0.621950261703753,"OMN",0
"136",0.641022348405286,"PAK",0.76497026397128
"137",0.74295976742102,"PAN",0.722219078888144
"138",0.97210380617628,"PCN",0.584589417015058
"139",0.801035134358313,"PER",0.722219078888144
"140",0.810371229496292,"PHL",0.00190226398243309
"141",0.858021972408971,"PLW",0.00368900779062953
"142",0.920194712219503,"PNG",0
"143",0.563607974805789,"POL",0.724616814769335
"144",0.57908566611602,"PRT",0.983039772763298
"145",0.787903048171196,"PRY",0
"146",0.603753584781446,"QAT",0
"147",0.579185507315114,"RUS",0.70508296501618
"148",0.629207417279094,"RWA",0
"149",0.595925877921767,"SAU",0
"150",0.593356587133967,"SDN",0
"151",0.619079502328007,"SEN",0
"152",0.807544999705353,"SGP",0.140644938913108
"153",0.678802346792214,"SHN",0.584589417015058
"154",0.939731534149591,"SLB",0
"155",0.625404338200385,"SLE",0
"156",0.759036110377601,"SLV",0.722219078888144
"157",0.640272168089694,"SOM",0
"158",0.640231658431037,"SPM",0.880207076248577
"159",0.62286356796972,"STP",0.983039772763298
"160",0.694659285689646,"SUR",0.73672031722555
"161",0.559014749497123,"SVK",0.73809297235603
"162",0.558295851734965,"SVN",0.73809297235603
"163",0.574909986503213,"SWE",0.907790521787267
"164",0.680381011648469,"SYC",0.999999999999999
"165",0.570656860678767,"SYR",0
"166",0.691390214964871,"TCA",0.584589417015058
"167",0.594655499006987,"TCD",0
"168",0.613314075666988,"TGO",0
"169",0.760428051936146,"THA",0
"170",0.625100926014707,"TJK",0.682236744196433
"171",0.603335395300075,"TKM",0.00785075528095748
"172",0.987455959365356,"TON",0.00368900779062948
"173",0.692668543018402,"TTO",0.584589417015058
"174",0.562327750882048,"TUN",0
"175",0.561331313786273,"TUR",0.00785075528095748
"176",0.962220452169535,"TUV",0.00368900779062948
"177",0.783806963978077,"TWN",0.0015751057838742
"178",0.653259472508088,"TZA",0
"179",0.625768907982679,"UGA",0
"180",0.566420050492829,"UKR",0.72627032919705
"181",0.808791124959032,"URY",0.722219078888144
"182",0.675597863089038,"USA",0.605827187148268
"183",0.623927468612333,"UZB",0.122024127593807
"184",0.685490316105975,"VCT",0.584589417015059
"185",0.704748079928867,"VEN",0.722219078888144
"186",0.681576961399954,"VGB",0.584589417015058
"187",0.755318298654372,"VNM",0
"188",0.966098188989226,"VUT",0
"189",0.608073596484057,"YEM",0
"190",0.725414211152717,"ZAF",0
"191",0.667007998136488,"ZMB",0
"192",0.676704827857671,"ZWE",0
